threshold,precision,recall,f1,n_flagged
0.3,0.53125,0.7727272727272727,0.6296296296296297,544
0.4,0.5932203389830508,0.6550802139037433,0.6226175349428208,413
0.5,0.6655052264808362,0.5106951871657754,0.5779122541603631,287
0.6,0.7426900584795322,0.339572192513369,0.46605504587155966,171
0.7,0.7920792079207921,0.21390374331550802,0.3368421052631579,101
